Date,BTC-USD,ETH-USD,XRP-USD,ADA-USD,DOGE-USD
2019-05-20,7978.30908203125,251.86441040039062,0.3980030119419098,0.08484800159931183,0.0030410001054406166
2019-05-21,7963.32763671875,255.21588134765625,0.39760300517082214,0.0846169963479042,0.003085999982431531
2019-05-22,7680.06640625,244.69891357421875,0.3766370117664337,0.07795500010251999,0.002939000027254224
2019-05-23,7881.8466796875,245.96566772460938,0.3812040090560913,0.08068999648094177,0.0029609999619424343
2019-05-24,7987.37158203125,249.4849853515625,0.38454100489616394,0.08086899667978287,0.0029949999880045652
2019-05-25,8052.5439453125,251.75987243652344,0.38703998923301697,0.08050200343132019,0.0029909999575465918
2019-05-26,8673.2158203125,267.06964111328125,0.40841299295425415,0.08601400256156921,0.003092000028118491
2019-05-27,8805.7783203125,272.8626403808594,0.4341680109500885,0.09169500321149826,0.003140999935567379
2019-05-28,8719.9619140625,271.7687072753906,0.4465489983558655,0.09281499683856964,0.0031479999888688326
2019-05-29,8659.4873046875,269.4556884765625,0.4437130093574524,0.09086699783802032,0.0031270000617951155
2019-05-30,8319.47265625,255.85894775390625,0.4223949909210205,0.08450999855995178,0.0032579998951405287
2019-05-31,8574.501953125,268.1135559082031,0.4385739862918854,0.08944100141525269,0.0034409998916089535
2019-06-01,8564.0166015625,265.3912658691406,0.43058300018310547,0.09053300321102142,0.003418999956920743
2019-06-02,8742.9580078125,270.22552490234375,0.4447849988937378,0.09657800197601318,0.003398000029847026
2019-06-03,8208.9951171875,252.60792541503906,0.4257639944553375,0.08870799839496613,0.003197999903932214
2019-06-04,7707.77099609375,241.3387908935547,0.4006670117378235,0.08248600363731384,0.00304200011305511
2019-06-05,7824.2314453125,247.05101013183594,0.4027320146560669,0.08343800157308578,0.0030700000934302807
2019-06-06,7822.0234375,249.47433471679688,0.4195399880409241,0.08347199857234955,0.0030869999900460243
2019-06-07,8043.951171875,250.93035888671875,0.42313000559806824,0.08580700308084488,0.003109999932348728
2019-06-08,7954.1279296875,245.73809814453125,0.41241100430488586,0.0842130035161972,0.003083999967202544
2019-06-09,7688.0771484375,233.08670043945312,0.388265997171402,0.07947000116109848,0.003011999884620309
2019-06-10,8000.32958984375,247.52012634277344,0.4004270136356354,0.08553700149059296,0.003091000020503998
2019-06-11,7927.71435546875,245.78182983398438,0.3942610025405884,0.0879649966955185,0.0030580000020563602
2019-06-12,8145.857421875,260.9032897949219,0.4017600119113922,0.09652499854564667,0.0030670000705868006
2019-06-13,8230.923828125,256.1687927246094,0.40088701248168945,0.08973900228738785,0.0030739998910576105
